Incentive Name,Website Link,State,County,Jurisdiction,Provider,Incentive Type,Technology,Sub-Technology,Product,Product Capacity,Product Eligibility,Incentive Amount,Unit,Incentive Value,Estimated Incentive Value,Application/Eligibility Link,Assumption Type,Assumed Capacity
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Parking Garage & Fuel Pump Canopy Luminaires and Retrofit Kits - Standard Classification with integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$100/unit,,100,200,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Parking Garage & Fuel Pump Canopy Luminaires and Retrofit Kits -Premium Classification with integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$115/unit,,115,230,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED ExteriorWall/Pole/Arm Mounted Area and Flood Luminaires LOW OUTPUT - Standard Classification with Dimming Control,Lumens: 250 - 5000,ENERGY STAR or DLC-listed,$60/unit,,60,300,,Lighting Type 2,10000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED ExteriorWall/Pole/Arm Mounted Area and Flood Luminaires LOW OUTPUT - Premium Classification with Dimming Control,Lumens: 250 - 5000,ENERGY STAR or DLC-listed,$80/unit,,80,400,,Lighting Type 2,10000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Exterior Wall/Pole/Arm Mounted Area and Flood Luminaires MID OUTPUT - Standard Classification with Dimming Control,Lumens: 5000 - 10000,ENERGY STAR or DLC-listed,$100/unit,,100,200,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Exterior Wall/Pole/Arm Mounted Area and Flood Luminaires MID OUTPUT - Premium Classification with Dimming Control,Lumens: 5000 - 10000,ENERGY STAR or DLC-listed,$120/unit,,120,240,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Exterior Wall/Pole/Arm Mounted Area and Flood Luminaires HIGH OR VERY HIGH OUTPUT - Standard Classification with Dimming Control,Lumens: 10000 - 30000,ENERGY STAR or DLC-listed,$185/unit,,185,370,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Exterior Wall/Pole/Arm Mounted Area and Flood Luminaires HIGH OR VERY HIGH OUTPUT - Premium Classification with Dimming Control,Lumens: 10000 - 30000,ENERGY STAR or DLC-listed,$205/unit,,205,410,,Lighting Type 2,25000
Real Time Energy Management (RTEM) Incentive,Link,NY,NY,Utility,National Grid,Discount,Controls,Building Controls,Real Time Energy Management System,Variable Capacities,Average Annual Peak Demand: >300 kW,$0.02/kWh,,0.02,40.5,,Controls Type 1,
Commercial and Industrial Retrofit Program Upstate New York,Link,NY,NY,Utility,National Grid,Discount,HVAC,Air Compressor,High Efficiency Air Compressors,Horsepower: 15 < HP < 25,,$250/unit,unit,250,250,,HVAC Type 4,
Commercial and Industrial Retrofit Program Upstate New York,Link,NY,NY,Utility,National Grid,Discount,HVAC,Air Compressor,High Efficiency Air Compressors,Horsepower: 25 < HP < 50,,$150/unit,unit,150,150,,HVAC Type 4,
Commercial and Industrial Retrofit Program Upstate New York,Link,NY,NY,Utility,National Grid,Discount,HVAC,Air Compressor,High Efficiency Air Compressors,Horsepower: 50 < HP < 250,,$200/unit,unit,200,200,,HVAC Type 4,
Commercial and Industrial Retrofit Program Upstate New York,Link,NY,NY,Utility,National Grid,Discount,HVAC,Air Compressor,Engineered Air Nozzle,1/8”,,$20/Ea,,20,,,,
Commercial and Industrial Retrofit Program Upstate New York,Link,NY,NY,Utility,National Grid,Discount,HVAC,Air Compressor,Engineered Air Nozzle,1/4”,,$20/Ea,,20,,,,
Commercial and Industrial Retrofit Program Upstate New York,Link,NY,NY,Utility,National Grid,Discount,HVAC,Air Compressor,Low Pressure Drop Filters,Variable Capacities,,$5.50/HP,HP,5.5,103.13,,HVAC Type 4,
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Air Conditioners,Split System & Single Package - Air Cooled,Variable Capacities,NEEP certified,$5/unit,unit,5,6.76,Link,HVAC Type 3,2.5
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Air Conditioners,Split System & Single Package - Water Cooled,Variable Capacities,NEEP certified,$5/unit,unit,5,6.76,Link,HVAC Type 3,2.5
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Air Conditioners,Packaged Air Conditioners - Split System & Single Package,Tonnage: < 5.4,"SEER Rating: 16 
EER Rating: 12-13",$25/unit,unit,25,33.81,Link,HVAC Type 3,2.5
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Air Conditioners,Packaged Air Conditioners - Split System & Single Package,Tonnage: > 5.4,"IEER Rating: 14.6-14.8
EER Rating: 2-12.2",$10/unit,unit,10,13.52,Link,HVAC Type 3,2.5
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Pumps & Motors,ECM Circulator Pump,Variable Capacities,,$75/unit,,75,75,Link,Standard,
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Pumps & Motors,VFDs - Fan & Pump,HP - 1,,$50/unit,,50,50,Link,Standard,
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Pumps & Motors,VFDs - Fan & Pump,HP - 1.5,,$120/unit,,120,120,Link,Standard,
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Pumps & Motors,VFDs - Fan & Pump,HP - 2,,$140/unit,,140,140,Link,Standard,
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Pumps & Motors,VFDs - Fan & Pump,HP - 3,,$210/unit,,210,210,Link,Standard,
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Pumps & Motors,VFDs - Fan & Pump,HP - 5,,$355/unit,,355,355,Link,Standard,
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Pumps & Motors,VFDs - Fan & Pump,HP - 7.5,,$545/unit,,545,545,Link,Standard,
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Pumps & Motors,VFDs - Fan & Pump,HP - 10,,$710/unit,,710,710,Link,Standard,
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Pumps & Motors,VFDs - Fan & Pump,HP - 15,,$960/unit,,960,960,Link,Standard,
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Pumps & Motors,VFDs - Fan & Pump,HP - 20,,$1125/unit,,1125,1125,Link,Standard,
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Pumps & Motors,VFDs - Fan & Pump,HP - 25,,$1395/unit,,1395,1395,Link,Standard,
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,LED Lighting,Interior,Interior - LEDs,Variable Capacities,ENERGY STAR or DLC-listed,$300/unit,,300,600,Link,Lighting Type 2,25000
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,LED Lighting,Exterior,Exterior - LEDs,Variable Capacities,ENERGY STAR or DLC-listed,$240/unit,,240,480,Link,Lighting Type 2,25000
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,LED Lighting,Troffers,Troffers,All capacities,ENERGY STAR or DLC-listed,$50/unit,,50,250,Link,Lighting Type 2,10000
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,LED Lighting,Lamps,Lamps,All capacities,ENERGY STAR or DLC-listed,$36/unit,,36,576,Link,Lighting Type 2,2880
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,LED Lighting,Downlights,Downlight,All capacities,ENERGY STAR or DLC-listed,$30/unit,,30,1020,Link,Lighting Type 2,1350
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,Custom Program,Whole Building,Electric Upgrades,Variable Capacities,,20 cents per kWh saved and capped at 25% of the total project cost with at least a one year payback,,0.2,2700,Link,Custom Project Type 1,
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,Custom Program,Lighting,Lighting Upgrades,Variable Capacities,,$0.08 per kWh saved and capped at 25% of the total project cost with at least a one year payback,,0.08,216,Link,Custom Project Type 2,
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,Custom Program,Lighting,Municipal Street Light Custom LED Project,Variable Capacities,,$0.06 per kWh saved and capped at 25% of the total project cost with at least a one year payback,,0.06,162,Link,Custom Project Type 2,
Business Direct Install Pathway,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,Custom Program,Whole Building,Electric Upgrades,Variable Capacities,,O&R will cover up to 70 percent of the cost for energy improvements. You only pay the difference.,,,,Link,Custom Project Type 1,
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,HVAC,Pumps & Motors,All Products,Variable Capacities,,$0.65/kWh & Cap at 70% project cost,kWh,0.65,1206.56,Link,HVAC Type 2,
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,HVAC,HVAC Controls,Adaptive Photonic Controls [APC],Variable Capacities,,$0.65/kWh & Cap at 70% project cost,kWh,0.55,204.19,Link,HVAC Type 2,
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,HVAC,Air Conditioners,All Products,Variable Capacities,NEEP certified,$0.65/kWh & Cap at 70% project cost,kWh,0.65,3378.38,Link,HVAC Type 2,
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,HVAC,HVAC Controls,All Products,Variable Capacities,,$0.65/kWh & Cap at 70% project cost,kWh,0.65,241.31,Link,HVAC Type 2,
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,HVAC,Heat Pump,Air Source Heat Pump,Variable Capacities,NEEP certified,"$5,000 per unit for 1000 sqft area & Cap at 70% project cost",,5,7500,Link,HVAC Type 5,
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,Insulation,Envelope,All Products,Variable Capacities,,$0.68/kWh & Cap at 70% project cost,kWh,0.68,734.4,Link,Insulation Type 1,
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,CFL Long - Biax - 1-2 lamp,,ENERGY STAR or DLC-listed,$68/unit,,68,340,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,CFL Long - Biax - 3-4 lamp,,ENERGY STAR or DLC-listed,$76.5/unit,,76.5,382.5,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,CFL Short - 1-2 lamp,,ENERGY STAR or DLC-listed,$80.75/unit,,80.75,403.8,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,CFL Short - 3-4 lamp,,ENERGY STAR or DLC-listed,$93.5/unit,,93.5,187,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,1-Lamp 2FT Linear Ambient Luminaire,,ENERGY STAR or DLC-listed,$20/unit,,20,680,Link,Lighting Type 2,1350
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,1-Lamp 4FT Linear Ambient Luminaire,,ENERGY STAR or DLC-listed,$35/unit,,35,560,Link,Lighting Type 2,2880
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,1-Lamp 8FT Linear Ambient Luminaire,,ENERGY STAR or DLC-listed,$70/unit,,70,350,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Troffers,1x4-1-Lamp Troffer,,ENERGY STAR or DLC-listed,$35/unit,,35,560,Link,Lighting Type 2,2880
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Troffers,1x4-2-Lamp Troffer,,ENERGY STAR or DLC-listed,$60/unit,,60,300,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,2-Lamp 2 ft. Linear Ambient Luminaire,,ENERGY STAR or DLC-listed,$30/unit,,30,1020,Link,Lighting Type 2,1350
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,2-Lamp 4 ft. Linear Ambient Luminaire,,ENERGY STAR or DLC-listed,$60/unit,,60,300,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,2-Lamp 8 ft. Linear Ambient Luminaire,,ENERGY STAR or DLC-listed,$127.5/unit,,127.5,255,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Troffers,2x2-2-Lamp Troffer,,ENERGY STAR or DLC-listed,$63.75/unit,,63.75,318.8,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Troffers,2x4-2-Lamp Troffer,,ENERGY STAR or DLC-listed,$68/unit,,68,340,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Troffers,2x4-3-Lamp Troffer,,ENERGY STAR or DLC-listed,$85/unit,,85,425,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Troffers,2x4-4-Lamp Troffer,,ENERGY STAR or DLC-listed,$110.5/unit,,110.5,221,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Exit Sign,Variable Capacities,ENERGY STAR or DLC-listed,$20/unit,,20,680,Link,Lighting Type 2,1350
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,HID Exterior Fixture,Wattage: 101 < W < 249,ENERGY STAR or DLC-listed,$175.1/unit,,175.1,350.2,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,HID Exterior Fixture GTE,Wattage: 250W,ENERGY STAR or DLC-listed,$235.45/unit,,235.45,470.9,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,HID Exterior Fixture LTE,Wattage: 100W,ENERGY STAR or DLC-listed,$75.65/unit,,75.65,378.3,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,HID Interior Fixture,Wattage: 250 < W < 399,ENERGY STAR or DLC-listed,$235.45/unit,,235.45,470.9,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,HID Interior Fixture,Wattage: 400 < W < 999,ENERGY STAR or DLC-listed,$340/unit,,340,680,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,HID Interior Fixture GTE,Wattage: 1000W,ENERGY STAR or DLC-listed,$697/unit,,697,1394,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,HID Interior Fixture LT,Wattage: 250W,ENERGY STAR or DLC-listed,$175.1/unit,,175.1,350.2,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Parking Garage Fixture,Wattage: 101 < W < 249,ENERGY STAR or DLC-listed,$200/unit,,200,400,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Parking Garage Fixture GTE,Wattage: 250W,ENERGY STAR or DLC-listed,$250/unit,,250,500,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Parking Garage Fixture LTE,Wattage: 100W,ENERGY STAR or DLC-listed,$150/unit,,150,300,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Pole Fixture,Wattage: 101 < W < 249,ENERGY STAR or DLC-listed,$175.1/unit,,175.1,350.2,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Pole Fixture,Wattage: 250 < W < 399,ENERGY STAR or DLC-listed,$235.45/unit,,235.45,470.9,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Pole Fixture,Wattage: 400 < W < 999,ENERGY STAR or DLC-listed,$340/unit,,340,680,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Pole Fixture GTE,Wattage: 1000W,ENERGY STAR or DLC-listed,$697/unit,,697,1394,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Pole Fixture LTE,Wattage: 100W,ENERGY STAR or DLC-listed,$75.65/unit,,75.65,378.3,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Screw or Pin Based CFL Fixture GT,Wattage: 32W,ENERGY STAR or DLC-listed,$93.5/unit,,93.5,187,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Screw or Pin Based CFL Fixture LTE,Wattage: 32W,ENERGY STAR or DLC-listed,$30/unit,,30,1020,Link,Lighting Type 2,1350
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Screw or Pin Based Incandescent Fixture GT,Wattage: 60W,ENERGY STAR or DLC-listed,$93.5/unit,,93.5,187,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Screw or Pin Based Incandescent Fixture LTE,Wattage: 60W,ENERGY STAR or DLC-listed,$30/unit,,30,1020,Link,Lighting Type 2,1350
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,T5 2-Lamp High Bay,,ENERGY STAR or DLC-listed,$80/unit,,80,400,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,T5 3-Lamp High Bay,,ENERGY STAR or DLC-listed,$120/unit,,120,240,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,T5 4-Lamp High Bay,,ENERGY STAR or DLC-listed,$160/unit,,160,320,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,T8 4-Lamp High Bay,,ENERGY STAR or DLC-listed,$100/unit,,100,200,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,T8 6-Lamp High Bay,,ENERGY STAR or DLC-listed,$137.7/unit,,137.7,275.4,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Lamps,T8 8-Lamp High Bay,,ENERGY STAR or DLC-listed,$195.5/unit,,195.5,391,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Downlights,Track or Mono Point Fixtures,,ENERGY STAR or DLC-listed,$50/unit,,50,250,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Wall Pack Fixture,Wattage: 101 < W < 399,ENERGY STAR or DLC-listed,$193.8/unit,,193.8,387.6,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Wall Pack Fixture GTE,Wattage: 400W,ENERGY STAR or DLC-listed,$334.05/unit,,334.05,668.1,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Wall Pack Fixture LTE,Wattage: 100W,ENERGY STAR or DLC-listed,$100/unit,,100,200,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Ground Mounted - Exterior - GTE,Wattage: 250W,ENERGY STAR or DLC-listed,$170/unit,,170,340,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,HID - Interior - GTE,Wattage: 1000W,ENERGY STAR or DLC-listed,$425/unit,,425,850,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,HID - Interior - LT,Wattage: 250W,ENERGY STAR or DLC-listed,$68/unit,,68,340,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,HID - Interior,Wattage: 250 < W < 399,ENERGY STAR or DLC-listed,$170/unit,,170,340,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,HID - Interior,Wattage: 400 < W < 999,ENERGY STAR or DLC-listed,$255/unit,,255,510,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Parking Garage - LTE,Wattage: 100W,ENERGY STAR or DLC-listed,$68/unit,,68,340,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Parking Garage,101 W to 249 W,ENERGY STAR or DLC-listed,$144.5/unit,,144.5,289,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Parking Garage - GTE,250 W,ENERGY STAR or DLC-listed,$170/unit,,170,340,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Pole - GTE,"1,000 W",ENERGY STAR or DLC-listed,$425/unit,,425,850,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Pole - LTE,100 W,ENERGY STAR or DLC-listed,$68/unit,,68,340,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Pole,101 W to 249 W,ENERGY STAR or DLC-listed,$144.5/unit,,144.5,289,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Pole,250 W to 399 W,ENERGY STAR or DLC-listed,$170/unit,,170,340,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Pole,400 W to 999 W,ENERGY STAR or DLC-listed,$255/unit,,255,510,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Recessed - Exterior - LTE,100 W,ENERGY STAR or DLC-listed,$68/unit,,68,340,Link,Lighting Type 2,10000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Recessed - Exterior,101 W to 249 W,ENERGY STAR or DLC-listed,$144.5/unit,,144.5,289,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Recessed - Exterior - GTE,,ENERGY STAR or DLC-listed,$170/unit,,170,340,Link,Lighting Type 2,25000
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Screw or Pin Base - CFL GT,32 W,ENERGY STAR or DLC-listed,$12.75/unit,,12.75,433.5,Link,Lighting Type 2,1350
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Screw or Pin Base - CFL LTE,32 W,ENERGY STAR or DLC-listed,$3.4/unit,,3.4,170,Link,Lighting Type 2,900
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Surface Mounted - Exterior - LTE,100 W,ENERGY STAR or DLC-listed,$68/unit,,68,340,Link,Lighting Type 2,10000
