Incentive Name,Website Link,State,County,Jurisdiction,Provider,Incentive Type,Technology,Sub-Technology,Product,Product Capacity,Product Eligibility,Incentive Amount,Unit,Incentive Value,Estimated Incentive Value,Application/Eligibility Link,Assumption Type,Assumed Capacity
LADWP Zero By Design New Construction Incentive Program,Link,CA,Los Angeles,Utility,LADWP,Discount,HVAC,Pumps & Motors,Cogged V-Belt for HVAC Fan,Variable Capacities,,$0.30/kWh,kWh,0.3,556.88,,HVAC Type 2,
LADWP Zero By Design New Construction Incentive Program,Link,CA,Los Angeles,Utility,LADWP,Discount,HVAC,Air Conditioners,HVAC - Heating and Cooling,Variable Capacities,,$0.40/kWh,kWh,0.4,742.5,,HVAC Type 2,
LADWP Zero By Design New Construction Incentive Program,Link,CA,Los Angeles,Utility,LADWP,Discount,HVAC,Heat Pump,HVAC - Heat Pump,Variable Capacities,,$0.40/kWh,kWh,0.4,742.5,,HVAC Type 2,
LADWP Zero By Design New Construction Incentive Program,Link,CA,Los Angeles,Utility,LADWP,Discount,LED Lighting,Interior,Lighting - Indoor,,,$0.2/kWh,kWh,0.2,246.58,,Lighting Type 1,
LADWP Zero By Design New Construction Incentive Program,Link,CA,Los Angeles,Utility,LADWP,Discount,LED Lighting,Exterior,Lighting - Outdoor,,,$0.3/kWh,kWh,0.3,369.86,,Lighting Type 1,
LADWP Zero By Design New Construction Incentive Program,Link,CA,Los Angeles,Utility,LADWP,Discount,Controls,Building Controls,Appliance and Plug Loads,,,$0.15/kWh,,0.15,303.75,,Controls Type 1,
LADWP Zero By Design New Construction Incentive Program,Link,CA,Los Angeles,Utility,LADWP,Discount,Insulation,Envelope,Building Envelope,,,$0.40/kWh,kWh,0.4,432,,Insulation Type 1,
LADWP Commercial Direct Install Program,Link,CA,Los Angeles,Utility,LADWP,Discount,LED Lighting,,,,,,,,,,,
LADWP Commercial Solar Program,Link,CA,Los Angeles,Utility,LADWP,Discount,Solar,Storage,Solar Energy Storage,,,,,,,,,
LADWP Demand Response Program,Link,CA,Los Angeles,Utility,LADWP,Discount,Controls,Building Controls,Demand Response,,,$0.25/kWh,,0.25,506.25,,Controls Type 1,
LADWP Custom Performance Program,Link,CA,Los Angeles,Utility,LADWP,Discount,Controls,Building Controls,Controls/RCx,,,$0.15/kWh,,0.15,303.75,,Controls Type 1,
LADWP Custom Performance Program,Link,CA,Los Angeles,Utility,LADWP,Discount,HVAC,Air Conditioners,HVAC-Refrigeration,Variable Capacities,,$0.30/kWh,kWh,0.3,556.88,,HVAC Type 2,
LADWP Custom Performance Program,Link,CA,Los Angeles,Utility,LADWP,Discount,Insulation,Envelope,Envelope,,,$0.25/kWh,kWh,0.25,270,,Insulation Type 1,
LADWP Custom Performance Program,Link,CA,Los Angeles,Utility,LADWP,Discount,Solar,Storage,Thermal Energy Storage,,,Up to $750/kW,,,,,,
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,LED Lighting,Interior,LED fixture,Wattage: ≤14W,,$10/unit,,10,340,,Lighting Type 2,1350
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,LED Lighting,Interior,LED fixture,Wattage: 15-20W,,$15/unit,,15,510,,Lighting Type 2,1350
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,LED Lighting,Interior,LED fixture,Wattage: 21-35W,,$25/unit,,25,850,,Lighting Type 2,1350
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,LED Lighting,Interior,LED fixture,Wattage: 36-50W,,$35/unit,,35,560,,Lighting Type 2,2880
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,LED Lighting,Interior,LED fixture,Wattage: 51-75W,,$45/unit,,45,720,,Lighting Type 2,2880
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,LED Lighting,Interior,LED fixture,Wattage: 76-125W,,$70/unit,,70,350,,Lighting Type 2,10000
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,LED Lighting,Interior,LED fixture,Wattage: 126-175W,,$100/unit,,100,200,,Lighting Type 2,25000
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,LED Lighting,Interior,LED fixture,Wattage: ≥ 176W,,$130/unit,,130,260,,Lighting Type 2,25000
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Air Conditioners,Packaged air conditioner (AC-RTU),Tonnage: <6,Efficiency Rating: 15 SEER,$150/unit,unit,150,126.77,,HVAC Type 3,4
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Air Conditioners,Packaged air conditioner (AC-RTU),Tonnage: 6 to 8.5,Efficiency Rating: 12 EER,$85/unit,unit,85,41.05,,HVAC Type 3,7
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Air Conditioners,Packaged air conditioner (AC-RTU),Tonnage: 10,Efficiency Rating: 12 EER,$80/unit,unit,80,27.04,,HVAC Type 3,10
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Air Conditioners,Packaged air conditioner (AC-RTU),Tonnage: 12 to 17,Efficiency Rating: 12 EER,$75/unit,unit,75,16.9,,HVAC Type 3,15
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Air Conditioners,Packaged air conditioner (AC-RTU),Tonnage: 20 to 60,Efficiency Rating: 10.8 EER,$50/unit,unit,50,4.23,,HVAC Type 3,40
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Air Conditioners,Packaged air conditioner (AC-RTU),Tonnage: >60,Efficiency Rating: 10.2 EER,$60/unit,unit,60,3.38,,HVAC Type 3,60
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Heat Pump,Packaged heat pump (HP-RTU),Tonnage: <6,Efficiency Rating: 15 SEER + 8.2 HSPF,$125/unit,unit,125,70.43,,HVAC Type 3,6
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Heat Pump,Packaged heat pump (HP-RTU),Tonnage: 6 to 8.5,Efficiency Rating: 12 EER + 3.4 COP,$100/unit,unit,100,48.29,,HVAC Type 3,7
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Heat Pump,Packaged heat pump (HP-RTU),Tonnage: 10,Efficiency Rating: 12 EER + 3.4 COP,$75/unit,unit,75,25.35,,HVAC Type 3,10
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Heat Pump,Packaged heat pump (HP-RTU),Tonnage: 12 to 17,Efficiency Rating: 12 EER + 3.2 COP,$75/unit,unit,75,16.9,,HVAC Type 3,15
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Heat Pump,Packaged heat pump (HP-RTU),Tonnage: 20,Efficiency Rating: 10.8 EER + 3.2 COP,$50/unit,unit,50,8.45,,HVAC Type 3,20
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Air Conditioners,Split system air conditioner,Tonnage: <6,Efficiency Rating: 15 SEER,$150/unit,unit,150,126.77,,HVAC Type 3,4
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Air Conditioners,Split system heat pump (AC-Split),Tonnage: ≤5,Efficiency Rating: 15 SEER + 9 HSPF,$125/unit,unit,125,84.51,,HVAC Type 3,5
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Air Conditioners,PTAC : (HP-Split),Tonnage: ≤2,Efficiency Rating: 12EER,$50/unit,unit,50,84.51,,HVAC Type 3,2
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Pumps & Motors,VFD for HVAC Fan,Variable Capacities,Efficiency Rating: ≤ 25hp,$80/HP,HP,80,1500,,HVAC Type 4,
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Heat Pump,Ductless mini split heat pump,Variable Capacities,Efficiency Rating: 15-16 SEER,$175/unit,unit,175,236.64,,HVAC Type 3,2.5
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Air Conditioners,Ductless mini split AC,Variable Capacities,Efficiency Rating: 15-17 SEER,$70/unit,unit,70,94.66,,HVAC Type 3,2.5
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Air Conditioners,Ductless mini split AC,Variable Capacities,Efficiency Rating: 18-20 SEER,$100/unit,unit,100,135.22,,HVAC Type 3,2.5
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Air Conditioners,Ductless mini split AC,Variable Capacities,Efficiency Rating: 21 SEER,$120/unit,unit,120,162.27,,HVAC Type 3,2.5
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Heat Pump,Commercial Style Heat Pump Water Heater,,,$1350 - $4000/unit,unit,4000,5408.94,,HVAC Type 3,2.5
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Heat Pump,Split System Heat Pump Water Heater,,,$1000 - $3000/unit,unit,3000,4056.71,,HVAC Type 3,2.5
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Heat Pump,"Electrical infrastructure improvement
(for residential and commercial style heat pump water heater)",,,"$2,000/unit",unit,2000,2704.47,,HVAC Type 3,2.5
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Heat Pump,"Electrical infrastructure improvement
(for split-system heat pump water heater)",,,"$1,000/unit",unit,1000,1352.24,,HVAC Type 3,2.5
SMUD Express Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,HVAC,Engineering and permitting support,,,$750/project site,,,750,,,
SMUD Complete Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,Custom Projects,Lighting,Lighting Upgrades,,,,,,,,,
SMUD Complete Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Heat Pump,Packaged and Split-System Heat Pumps,Tonnage: 3 - 20 tons,,$550/ton,ton,550,1859.32,,HVAC Type 3,
SMUD Complete Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,HVAC,Heat Pump,Commercial Size Heat Pump Water Heater,,,$4000/unit,unit,2000,1126.86,,HVAC Type 3,6
SMUD Complete Energy Solutions,Link,CA,Sacramento,Utility,SMUD,Discount,Controls,Building Controls,Smart Thermostat,,,$175/unit,,175,175,,Controls Type 2,
Golden State Rebates Instant Rebate Program,Link,CA,CA,State,California Public Utilities Commission,Discount,Controls,Building Controls,Smart Thermostats,,,$75/unit,,75,75,,Controls Type 2,
Golden State Rebates Instant Rebate Program,Link,CA,CA,State,California Public Utilities Commission,Discount,HVAC,Air Conditioners,Small room air conditioners,,,$15/unit,unit,15,20.28,,HVAC Type 3,2.5
Golden State Rebates Instant Rebate Program,Link,CA,CA,State,California Public Utilities Commission,Discount,HVAC,Heat Pump,Heat pump water heaters,,,$900/unit,unit,900,1217.01,,HVAC Type 3,2.5
SDG&E Comprehensive Energy Management Solutions,Link,CA,San Diego,Utility,SDG&E,Discount,HVAC,Pumps & Motors,VFD Retrofit for Air Compressor,Horsepower: 5 < HP < 25,,$25.74-$50.62/HP,HP,40,750,,HVAC Type 4,
SDG&E Comprehensive Energy Management Solutions,Link,CA,San Diego,Utility,SDG&E,Discount,HVAC,Pumps & Motors,Fan Motor Retrofit for a Refrigerated Display Case,,,$25.22 - $72.76/unit,unit,50,67.61,,HVAC Type 3,2.5
SDG&E Comprehensive Energy Management Solutions,Link,CA,San Diego,Utility,SDG&E,Discount,HVAC,Pumps & Motors,ECM Retrofit for Walk-in Cooler or Freezer,,,$42.04 - $143.45/unit,unit,100,135.22,,HVAC Type 3,2.5
SDG&E Comprehensive Energy Management Solutions,Link,CA,San Diego,Utility,SDG&E,Discount,HVAC,Pumps & Motors,Floating Head Pressure Controls,,,$68.60 - $183.95/Cap-Tons,ton,120,405.67,,HVAC Type 3,
SDG&E Comprehensive Energy Management Solutions,Link,CA,San Diego,Utility,SDG&E,Discount,Insulation,Pipe,Bare Suction Line Insulation,,,$1.29/len-ft,,1.29,57.99,,Insulation Type 3,
Sales and Use Tax Exemption for Electric Power Generation and Storage Equipment,Link,CA,CA,State,California State,Tax Exemption,Solar,Solar,Solar Upgrades,,,7.25% of system cost,,,,,,
Property Tax Exclusion for Solar and Storage Systems,Link,CA,CA,State,California State,Tax Exemption,Solar,Solar,Solar Upgrades,,,100% of system value,,,,,,
Self-generation Incentive Program,Link,CA,CA,State,California Public Utilities Commission,Discount,Solar,Storage,Thermal Energy Storage,,,35-100% of system cost,,,,,,
CEEP Rapid Rebate Program,Link,CA,CA,Utility,SCE,Discount,LED Lighting,Interior,Efficient 4-foot UL Type A TLED T8 lamp,,,$2-$5/unit,,5,250,,Lighting Type 2,900
CEEP Rapid Rebate Program,Link,CA,CA,Utility,SCE,Discount,LED Lighting,Interior,4-foot UL Type B LED T8 lamp,,,$2-$5/unit,,5,250,,Lighting Type 2,900
CEEP Rapid Rebate Program,Link,CA,CA,Utility,SCE,Discount,HVAC,Pumps & Motors,ECM - Electronically Commutated Motor,,,$15/unit,unit,15,20.28,,HVAC Type 3,2.5
CEEP Rapid Rebate Program,Link,CA,CA,Utility,SCE,Discount,HVAC,HVAC Controls,Software-controlled SRM,,,$10/HP,HP,10,187.5,,HVAC Type 4,
CEEP Rapid Rebate Program,Link,CA,CA,Utility,SCE,Discount,HVAC,Pumps & Motors,ECM - Electronically Commutated Motor,,,$15/unit,,15,20.28,,HVAC Type 3,2.5
CEEP Rapid Rebate Program,Link,CA,CA,Utility,SCE,Discount,HVAC,HVAC Controls,Software-controlled SRM,,,$10/HP,,10,187.5,,HVAC Type 4,
